Application ID,Reviewer 1,Reviewer 2,Reviewer 3,Reviewer 4,Reviewer 5
0.00,176138.00,260307.00,795405.00,151604.00,383899.00
1.00,505704.00,781635.00,260307.00,781635.00,713883.00
2.00,295745.00,505704.00,176138.00,260307.00,176138.00
3.00,214116.00,295745.00,505704.00,176138.00,260307.00
4.00,937670.00,214116.00,295745.00,505704.00,176138.00
5.00,531248.00,937670.00,214116.00,713883.00,505704.00
6.00,535973.00,531248.00,937670.00,214116.00,295745.00
7.00,795405.00,535973.00,531248.00,937670.00,214116.00
8.00,535703.00,795405.00,535973.00,531248.00,937670.00
9.00,383899.00,535703.00,795405.00,535973.00,531248.00
10.00,356279.00,383899.00,535703.00,795405.00,535973.00
11.00,684066.00,713883.00,383899.00,535703.00,795405.00
12.00,497516.00,684066.00,356279.00,383899.00,535703.00
13.00,138590.00,497516.00,684066.00,356279.00,383899.00
14.00,222090.00,138590.00,497516.00,684066.00,356279.00
15.00,781635.00,222090.00,138590.00,497516.00,684066.00
16.00,788432.00,283142.00,222090.00,138590.00,497516.00
17.00,393039.00,788432.00,283142.00,222090.00,138590.00
18.00,232521.00,393039.00,788432.00,283142.00,222090.00
19.00,965319.00,232521.00,393039.00,788432.00,283142.00
20.00,527815.00,965319.00,232521.00,393039.00,788432.00
21.00,126230.00,527815.00,965319.00,232521.00,393039.00
22.00,447911.00,126230.00,527815.00,965319.00,232521.00
23.00,898851.00,447911.00,126230.00,527815.00,965319.00
24.00,151604.00,898851.00,447911.00,126230.00,527815.00
25.00,684066.00,151604.00,898851.00,447911.00,126230.00
